,0
1428,YLCO
1429,GLBS
1430,GSMG
1431,GSMGW
1432,GLUU
1433,GLYC
1434,GOGO
1435,GLNG
1436,GMLP
1437,GMLPP
1438,DNJR
1439,GDEN
1440,GOGL
1441,GBDC
1442,GTIM
1443,GBLK
1444,GSHD
1445,GPRO
1446,GHIV
1447,GHIVU
1448,GHIVW
1449,GMHI
1450,GMHIU
1451,GMHIW
1452,GOSS
1453,LOPE
1454,GRVY
1455,GECC
1456,GECCL
1457,GECCM
1458,GECCN
1459,GEC
1460,GLDD
1461,GSBC
1462,GRBK
1463,GPP
1464,GPRE
1465,GCBC
1466,GTEC
1467,GNLN
1468,GLRE
1469,GRNQ
1470,GNRS
1471,GNRSU
1472,GNRSW
1473,GSKY
1474,GRNV
1475,GRNVR
1476,GRNVU
1477,GRNVW
1478,GDYN
1479,GDYNW
1480,GSUM
1481,GRIF
1482,GRFS
1483,GRIN
1484,GRTS
1485,GO
1486,GRPN
1487,GRWG
1488,OMAB
1489,GGAL
1490,GVP
1491,GSIT
1492,GTYH
1493,GNTY
1494,GFED
1495,GH
1496,GHSI
1497,GIFI
1498,GURE
1499,GPOR
1500,GWPH
1501,GWGH
1502,GXGX
1503,GXGXU
1504,GXGXW
1505,GYRO
1506,HEES
1507,HLG
1508,HOFV
1509,HOFVW
1510,HNRG
1511,HALL
1512,HALO
1513,HLNE
1514,HJLI
1515,HJLIW
1516,HWC
1517,HWCPL
1518,HWCPZ
1519,HAFC
1520,HAPP
1521,HONE
1522,HLIT
1523,HARP
1524,HROW
1525,HBIO
1526,HCAP
1527,HCAPZ
1528,HAS
1529,HA
1530,HWKN
1531,HWBK
1532,HYAC
1533,HYACU
1534,HYACW
1535,HAYN
1536,HBT
1537,HDS
1538,HHR
1539,HCAT
1540,HCCO
1541,HCCOU
1542,HCCOW
1543,HCSG
1544,HTIA
1545,HQY
1546,HSTM
1547,HTLD
1548,HTLF
1549,HTLFP
1550,HTBX
1551,HEBT
1552,HSII
1553,HELE
1554,HLIO
1555,HSDT
1556,HMTV
1557,HNNA
1558,HCAC
1559,HCACU
1560,HCACW
1561,HSIC
1562,HEPA
1563,HTBK
1564,HFWA
1565,HCCI
1566,MLHR
1567,HRTX
1568,HSKA
1569,HX
1570,HFFG
1571,HIBB
1572,SNLN
1573,HIHO
1574,HIMX
1575,HIFS
1576,HQI
1577,HSTO
1578,HCCH
1579,HCCHR
1580,HCCHU
1581,HCCHW
1582,HMNF
1583,HMSY
1584,HOLI
1585,HOLX
1586,HBCP
1587,HOMB
1588,HFBL
1589,HMST
1590,HTBI
1591,FIXX
1592,HOFT
1593,HOOK
1594,HOPE
1595,HBNC
1596,HRZN
1597,HZNP
1598,TWNK
1599,TWNKW
1600,HOTH
1601,HMHC
1602,HWCC
1603,HOVNP
1604,HBMD
1605,HTGM
1606,HTHT
1607,HUBG
1608,HUSN
1609,HECCU
1610,HSON
1611,HDSN
1612,HUIZ
1613,HBAN
1614,HBANN
1615,HBANO
1616,HURC
1617,HURN
1618,HCM
1619,HBP
1620,HVBC
1621,HYMC
1622,HYMCW
1623,HYRE
1624,IIIV
1625,IAC
1626,IBEX
1627,ICAD
1628,IEP
1629,ICCH
1630,ICFI
1631,ICHR
1632,ICLK
1633,ICLR
1634,ICON
1635,ICUI
1636,IPWR
1637,IDEX
1638,IDYA
1639,INVE
1640,IDRA
1641,IDXX
1642,IEC
1643,IESC
1644,IROQ
1645,IFMK
1646,IGMS
1647,IHRT
1648,INFO
1649,IIVI
1650,IKNX
1651,ILMN
1652,IMAB
1653,IMAC
1654,IMACW
1655,ISNS
1656,IMRA
1657,IMBI
1658,IMTX
1659,IMTXW
1660,IMMR
1661,ICCC
1662,IMUX
1663,IMGN
1664,IMMU
1665,IMVT
1666,IMRN
1667,IMRNW
1668,IMMP
1669,PI
1670,IMV
1671,NARI
1672,INCY
1673,INDB
1674,IBCP
1675,IBTX
1676,ILPT
1677,INFN
1678,INFI
1679,IFRX
1680,III
1681,IEA
1682,IEAWW
1683,IMKTA
1684,INMD
1685,INMB
1686,IPHA
1687,INWK
1688,INOD
1689,IOSP
1690,ISSC
1691,INVA
1692,INGN
1693,INOV
1694,INO
1695,INPX
1696,INSG
1697,NSIT
1698,ISIG
1699,INSM
1700,INSE
1701,IIIN
1702,PODD
1703,INSU
1704,INSUU
1705,INSUW
1706,NTEC
1707,IART
1708,IMTE
1709,INTC
1710,NTLA
1711,IDN
1712,IPAR
1713,IBKR
1714,ICPT
1715,IDCC
1716,TILE
1717,IBOC
1718,IGIC
1719,IGICW
1720,IMXI
1721,IDXG
1722,XENT
1723,IPLDP
1724,IVAC
1725,ITCI
1726,IIN
1727,INTU
1728,ISRG
1729,PLW
1730,ADRE
1731,BSCK
1732,BSJK
1733,BSCL
1734,BSJL
1735,BSML
1736,BSAE
1737,BSCM
1738,BSJM
1739,BSMM
1740,BSBE
1741,BSCN
1742,BSJN
1743,BSMN
1744,BSCE
1745,BSCO
1746,BSJO
1747,BSMO
1748,BSDE
1749,BSCP
1750,BSJP
1751,BSMP
1752,BSCQ
1753,BSJQ
1754,BSMQ
1755,BSCR
1756,BSJR
1757,BSMR
1758,BSCS
1759,BSMS
1760,BSCT
1761,BSMT
1762,PKW
1763,PFM
1764,PYZ
1765,PEZ
1766,PSL
1767,PIZ
1768,PIE
1769,PXI
1770,PFI
1771,PTH
1772,PRN
1773,PDP
1774,DWAS
1775,PTF
1776,PUI
1777,IDLB
1778,PRFZ
1779,PIO
1780,PGJ
1781,PEY
1782,IPKW
1783,PID
1784,KBWB
1785,KBWD
1786,KBWY
1787,KBWP
1788,KBWR
1789,PNQI
1790,PDBC
1791,QQQ
1792,ISDX
1793,ISDS
1794,ISEM
1795,IUS
1796,IUSS
1797,USLB
1798,PSCD
1799,PSCC
1800,PSCE
1801,PSCF
1802,PSCH
1803,PSCI
1804,PSCT
1805,PSCM
1806,PSCU
1807,VRIG
1808,PHO
1809,ISTR
1810,CMFNL
1811,ICMB
1812,ISBC
1813,ITIC
1814,NVIV
1815,IONS
1816,IOVA
1817,IPGP
1818,CLRG
1819,CSML
1820,IQ
1821,IRMD
1822,IRTC
1823,IRIX
1824,IRDM
1825,IRBT
1826,IRWD
1827,IRCP
1828,SLQD
1829,ISHG
1830,SHY
1831,TLT
1832,IEI
1833,IEF
1834,AIA
1835,USIG
1836,COMT
1837,ISTB
1838,IXUS
1839,IUSG
1840,IUSV
1841,IUSB
1842,HEWG
1843,DMXF
1844,USXF
1845,SUSB
1846,SUSC
1847,ESGD
1848,ESGE
1849,LDEM
1850,ESGU
1851,SUSL
1852,XT
1853,FALN
1854,IFEU
1855,IFGL
1856,BGRN
1857,IGF
1858,GNMA
1859,IBTA
1860,IBTB
1861,IBTD
1862,IBTE
1863,IBTF
1864,IBTG
1865,IBTH
1866,IBTI
1867,IBTJ
1868,HYXE
1869,IGIB
1870,IGOV
1871,EMB
1872,MBB
1873,JKI
1874,ACWX
1875,ACWI
1876,AAXJ
1877,EWZS
1878,MCHI
1879,SCZ
1880,EEMA
1881,EMXC
1882,EUFN
1883,IEUS
1884,RING
1885,SDG
1886,EWJE
1887,EWJV
1888,ENZL
1889,QAT
1890,TUR
1891,UAE
1892,IBB
1893,SOXX
1894,PFF
1895,AMCA
1896,EMIF
1897,ICLN
1898,WOOD
1899,INDY
1900,IJT
1901,DVY
1902,SHV
1903,IGSB
